Subject,u,bin_resp,rts
5,0,0,5.29842036124512
5,1,1,5.80907208780179
5,1,1,5.29852934407822
5,1,0,5.45267231122613
5,1,1,6.10920135947317
5,0,1,5.37874692246197
5,1,0,5.75839249595153
5,0,1,5.90458388884646
5,1,1,6.57471287375903
5,1,1,5.94900058028757
5,1,1,5.75796063714187
5,1,1,5.58621516572828
5,1,0,5.70398945323501
5,1,1,6.52694073380001
5,0,1,6.45107245257682
5,1,1,5.75795179597716
5,1,1,5.52190721825301
5,1,1,6.0324661255025
5,0,1,6.14586769506325
5,0,0,5.58592756141532
5,0,1,5.45259732373483
5,0,0,6.33981841673415
5,0,0,6.14578157024195
5,0,0,5.29880224897312
5,0,0,5.37886317841148
5,0,1,6.18075406285751
5,0,0,5.37872154734673
5,1,0,5.58617092429523
5,1,0,5.99153754444377
5,1,0,5.75793506070269
5,1,1,6.64208932994783
5,0,1,6.03236053888996
5,0,1,5.52161570588198
5,0,0,6.72544232215157
5,1,0,5.9915680417527
5,0,0,6.18083309046372
5,1,0,6.10933957853345
5,0,0,5.64661900198035
5,1,0,6.8024740935113
5,1,1,6.4243416563475
5,1,1,5.37854482638476
5,1,1,5.45263460392979
5,1,0,5.52182165279021
5,0,1,6.89098422781182
5,1,0,6.21477848390451
5,1,0,5.94902379519004
5,0,1,5.94897449548654
5,0,1,5.58616754986642
5,1,1,7.0329540389493
5,0,1,6.30995155039929
5,0,0,6.03241549331259
5,0,0,5.58617092429523
5,0,0,5.80922328709133
5,0,1,6.39700715221273
5,1,0,5.94909604486073
5,0,0,6.47699620875973
5,1,1,6.55106019198307
5,0,0,6.74526670196533
5,0,1,6.47709897025873
5,0,0,6.39694515509642
5,0,0,5.58617879791247
5,1,0,6.50229697085034
5,0,1,6.14574493280813
5,0,1,5.29837536486573
5,0,0,6.42430614266402
5,0,0,5.94892362816549
5,0,0,5.7039407954588
5,0,0,5.29875327152701
5,0,0,5.75788516897954
5,0,0,6.50232817015167
5,1,0,6.1808639136755
5,1,0,6.95651449029167
5,0,0,6.10947155767955
5,1,0,6.64215141266598
5,1,1,5.94890875876838
5,0,1,5.99159753826427
5,1,1,6.64205137411881
5,0,1,5.52164210144846
5,0,1,5.29875577043521
5,1,1,5.45269202129307
5,0,1,6.1808618450327
5,1,0,6.21470009419067
5,1,0,6.14579014020907
5,0,1,6.45099713964418
5,0,1,5.37857528183321
5,1,1,6.70532031700654
5,0,1,6.78372036600363
5,1,0,6.45112028992325
5,0,0,6.07163316992991
5,1,0,5.80923978562778
5,0,0,5.21158558683083
5,0,0,5.90456507294792
5,0,0,5.75793221883733
5,0,0,5.99162953349736
5,0,0,6.03238141712665
5,0,1,6.03234373999283
5,0,0,6.27911074391615
5,0,0,6.30996754974007
5,0,0,6.18082378125238
5,0,1,6.10944489663055
5,0,0,6.5976249867387
5,1,1,6.85647335295123
5,0,0,6.87385634799275
5,0,1,6.57464478536631
5,0,0,5.85806771685741
5,0,0,6.21461529839653
5,0,1,6.18085750086928
5,1,0,6.18079668061665
5,0,1,6.87386627895224
5,0,0,5.94901231822795
5,1,0,5.80922178720741
5,1,0,5.21150433352431
5,0,1,6.21465489732694
5,0,1,6.18066013187459
5,0,0,6.14573100594736
5,1,0,5.64706502239995
5,1,0,5.11631215971104
5,1,0,6.07157525247054
5,1,1,5.9489862337331
5,0,1,5.70394446153589
5,1,1,6.33974429983593
5,1,1,5.70411375311198
5,0,1,5.29852484502401
5,0,1,5.2986698044347
5,0,1,5.29869329587498
5,0,0,6.59769520981584
5,1,0,5.94888580207174
5,1,1,6.03236677841044
5,1,1,6.31004845157286
5,0,1,6.72546080182182
5,1,0,6.24742198547205
5,0,1,6.6200937396528
5,1,1,5.2985238452279
5,0,1,6.03224726085597
5,0,0,5.90468750629565
5,0,0,5.99162928353894
5,1,1,5.52159290915204
5,1,0,6.0717023895892
5,0,0,5.90467169169373
5,1,1,5.52155371355745
5,1,1,6.2474655318637
5,0,1,6.07174899479053
5,1,0,6.39697065437469
5,0,0,6.5271097510136
5,1,1,6.03239461578735
5,1,1,6.10927336020974
5,1,1,5.94904674871907
5,1,1,5.80942095167962
5,1,0,5.21170227466402
5,0,1,6.07148871614704
5,1,1,5.52169928944943
5,1,1,5.99145079701471
5,1,1,5.45242718839822
5,1,1,5.64678310699269
5,1,0,5.70400778260325
5,1,1,5.21163248170834
6,1,1,6.64208359101471
6,1,1,7.00307936778022
6,1,0,6.78373813911582
6,1,0,6.70534945683477
6,0,1,6.74525434932289
6,1,1,6.64202033013543
6,1,1,6.83883329784023
6,1,0,6.21474808862321
6,1,1,6.59755789523197
6,0,1,6.14576464434273
6,1,0,6.18082378125238
6,0,0,6.89098961743375
6,1,1,6.36888282769817
6,1,1,6.95654477648497
6,1,0,6.39692498853853
6,1,0,6.62010507268941
6,1,1,6.52712818752635
6,1,0,6.95655706213198
6,0,0,6.72542588215705
6,1,1,6.98787161471442
6,1,0,7.00307054968283
6,1,0,6.83884818953015
6,0,1,6.70526276946895
6,0,1,6.74520481957556
